,ventas
2012-01-31,13.973713224089861
2012-02-29,11.893885590630523
2012-03-31,20.51163532372773
2012-04-30,28.684238851264205
2012-05-31,14.456900021135507
2012-06-30,13.126904344406556
2012-07-31,25.63370252405913
2012-08-31,17.13947783322327
2012-09-30,5.914077893598192
2012-10-31,13.840480348687716
2012-11-30,6.962531438578109
2012-12-31,9.274161971437943
2013-01-31,17.93569817252827
2013-02-28,3.693758042737617
2013-03-31,7.530784358817929
2013-04-30,18.001699766072218
2013-05-31,14.227478056246804
2013-06-30,23.51397866076219
2013-07-31,11.735807395830317
2013-08-31,5.701570389317672
2013-09-30,27.39506313245024
2013-10-31,13.693789596107715
2013-11-30,17.210098618581195
2013-12-31,7.602014510292339
2014-01-31,17.644938203798535
2014-02-28,25.887380717678933
2014-03-31,18.12217839954377
2014-04-30,31.505584146765376
2014-05-31,23.52501749957176
2014-06-30,24.666450001653786
2014-07-31,20.186347102164834
2014-08-31,37.81822547607151
2014-09-30,21.56189518317434
2014-10-31,13.038312568352797
2014-11-30,29.250232277903322
2014-12-31,15.233250800231822
2015-01-31,29.67090876003804
2015-02-28,15.322639008961788
2015-03-31,22.704638627734745
2015-04-30,36.07488988695299
2015-05-31,40.237859658885476
2015-06-30,34.370946249519776
2015-07-31,30.07481374089408
2015-08-31,26.591170435285697
2015-09-30,15.841697058138394
2015-10-31,21.74124633284233
2015-11-30,24.9847628133995
2015-12-31,39.45697780975132
2016-01-31,36.74894631654769
2016-02-29,22.89567875709812
2016-03-31,41.92279877408056
2016-04-30,37.41934175666947
2016-05-31,34.91475101647452
2016-06-30,43.89341031072694
2016-07-31,45.247996179967615
2016-08-31,42.45024095292958
2016-09-30,26.956132795296707
2016-10-31,31.026300993190283
2016-11-30,37.31998043230632
2016-12-31,44.80436101697887
2017-01-31,36.16660609723766
2017-02-28,41.51472818668945
2017-03-31,36.47944722687396
2017-04-30,36.930347007354634
2017-05-31,52.83033359807579
2017-06-30,55.84992022856658
2017-07-31,42.423919027357314
2017-08-31,49.028263183136204
2017-09-30,42.562961181458874
2017-10-31,34.339041963159005
2017-11-30,43.561037825145114
2017-12-31,55.30429253172777
2018-01-31,45.71339168712038
2018-02-28,61.51714924651203
2018-03-31,30.37216618620423
2018-04-30,59.07522003500179
2018-05-31,53.02650356482758
2018-06-30,48.60794119627307
2018-07-31,49.73408621228405
2018-08-31,31.099448683192865
2018-09-30,43.91249787837771
2018-10-31,48.35690057209397
2018-11-30,58.49302533900992
2018-12-31,44.853838253810835
2019-01-31,45.532051176854495
2019-02-28,50.985943651323716
2019-03-31,64.65334396053878
2019-04-30,61.130008877277476
2019-05-31,54.09204538878589
2019-06-30,61.10613946490685
2019-07-31,55.77662039478432
2019-08-31,60.749159924263125
2019-09-30,46.053448230059004
2019-10-31,48.87870282721786
2019-11-30,49.53300775602054
2019-12-31,43.29188041494306
2020-01-31,60.3689622165166
2020-02-29,63.088442177439084
2020-03-31,63.371034672061874
2020-04-30,62.623302932998826
2020-05-31,53.00716108251887
2020-06-30,59.63483741787714
2020-07-31,58.25828386778587
2020-08-31,52.58178184622706
2020-09-30,56.37958728774973
2020-10-31,60.732406854516306
2020-11-30,73.75936019076204
2020-12-31,62.396622502654694
2021-01-31,66.0604031257821
2021-02-28,66.40443267387063
2021-03-31,53.97995729652987
2021-04-30,70.28788899640627
2021-05-31,70.81196869845041
2021-06-30,88.70593689988229
2021-07-31,65.46111228175104
2021-08-31,67.41237873866889
2021-09-30,63.39217882343586
2021-10-31,54.15057569904374
2021-11-30,73.81245549719796
2021-12-31,73.01546426149416
